CAND_ELECTION_YR,CMTE_PTY_AFFILIATION,CAND_OFFICE,STATE,TRANSACTION_AMT
2004,DEM,H,40,73.49
2004,REP,H,RI,501807.1200000001
2004,REP,H,SC,2532318.5700000026
2004,REP,H,SD,835290.2400000005
2004,REP,H,SE,1453.57
2004,REP,H,ST,635.0
2004,REP,H,TN,3310772.1999999983
2004,REP,H,TW,481.16
2004,REP,H,RE,1500.0
2004,REP,H,TX,28525849.910000023
2004,REP,H,VA,61106656.570000045
2004,REP,H,VI,4821.86
2004,REP,H,VT,314084.82000000007
2004,REP,H,WA,4573877.320000005
2004,REP,H,WI,3043086.6699999915
2004,REP,H,WV,422445.04999999976
2004,REP,H,WY,582560.1199999988
2004,REP,H,UT,3525487.709999999
2004,REP,H,PR,1692935.2599999988
2004,REP,H,PA,10522859.849999996
2004,REP,H,OR,2975830.780000001
2004,REP,H,MI,5586034.299999992
2004,REP,H,MN,3938570.4499999937
2004,REP,H,MO,5265537.599999992
2004,REP,H,MP,933.75
2004,REP,H,MS,675902.1300000004
2004,REP,H,MT,138434.76000000007
2004,REP,H,NC,8326942.610000015
2004,REP,H,ND,437919.9599999997
2004,REP,H,NE,2289729.7299999944
2004,REP,H,NH,3421900.9200000027
2004,REP,H,NJ,10841804.289999979
2004,REP,H,NM,1616370.6399999973
2004,REP,H,NV,4538591.169999998
2004,REP,H,NY,7645018.900000028
2004,REP,H,OH,11719646.100000013
2004,REP,H,OK,1645189.1200000006
2004,REP,H,ON,891.36
2004,REP,H,ZZ,19058.739999999998
2004,REP,H,ME,293987.1500000001
2004,REP,P,AK,5381.6
2004,REP,P,AZ,10188143.930000003
2004,REP,P,MN,722574.2400000005
2004,REP,P,MO,1281320.3099999998
2004,REP,P,MS,36342.36000000001
2004,REP,P,MT,15320.34
2004,REP,P,NC,515447.9099999999
2004,REP,P,ND,2078.8
2004,REP,P,NE,54520.02
2004,REP,P,MI,1656978.3599999994
2004,REP,P,NH,193494.46999999997
2004,REP,P,NM,558489.7200000001
2004,REP,P,NV,373315.9400000001
2004,REP,P,NY,1965521.8999999985
2004,REP,P,OH,5282829.780000001
2004,REP,P,OK,419355.4799999999
2004,REP,P,OR,319114.27000000025
2004,REP,P,PA,1866917.58
2004,REP,P,NJ,658839.4000000001
2004,REP,P,ME,118478.73000000001
2004,REP,P,MD,1737427.6700000002
2004,REP,P,MA,450062.6199999999
2004,REP,P,CA,2252664.390000001
2004,REP,P,CO,367872.35
2004,REP,P,CT,288433.23
2004,REP,P,DC,10478645.750000002
2004,REP,P,DE,1050252.06
2004,REP,P,FF,1358.0
2004,REP,P,FL,24530785.88
2004,REP,P,GA,1570916.179999999
2004,REP,P,GU,0.0
2004,REP,P,HI,81913.34
2004,REP,P,IA,730708.16
2004,REP,P,ID,7353.939999999999
2004,REP,P,IL,2907489.9400000013
2004,REP,P,IN,106434.97999999995
2004,REP,P,KS,28440.94
2004,REP,P,KY,389402.6100000001
2004,REP,P,LA,158122.87000000002
2004,REP,P,AR,185726.40999999997
2004,REP,H,MD,17388837.82000002
2004,REP,H,MA,992037.8999999998
2004,REP,H,LO,350.0
2004,NAT,H,AL,1000.0
2004,NAT,H,CA,500.0
2004,NAT,H,DC,3675.0
2004,NAT,H,DE,43205.0
2004,NAT,H,KS,70.0
2004,NAT,H,MD,1050.0
2004,NAT,H,NJ,600.0
2004,LIB,P,WA,587.5500000000001
2004,NAT,H,NY,41125.0
2004,NAT,H,PA,3000.0
2004,NAT,H,VA,2140.0
2004,NAT,H,WI,250.0
2004,NNE,H,AZ,102.0
2004,R,H,CT,9604.98
2004,R,H,DC,34120.09
2004,R,H,DE,4100.8
2004,NAT,H,OH,1138.0
2004,LIB,P,VA,34354.200000000004
2004,LIB,P,UT,1332.47
2004,LIB,P,TX,8239.840000000002
2004,LIB,P,DC,17564.39
2004,LIB,P,FL,791.1299999999999
2004,LIB,P,GA,7229.12
2004,LIB,P,IL,4927.819999999997
2004,LIB,P,MA,459.03
2004,LIB,P,MD,1778.05
2004,LIB,P,MN,1566.1
2004,LIB,P,MO,1210.65
2004,LIB,P,NH,600.0
2004,LIB,P,NJ,977.96
2004,LIB,P,NV,441.56
2004,LIB,P,OH,37113.55
2004,LIB,P,OK,499.26
2004,LIB,P,OR,382.0
2004,LIB,P,PA,366.0
2004,LIB,P,SC,1085.19
2004,LIB,P,TN,116.85
2004,R,H,GA,2774.22
2004,R,H,IL,140671.34999999998
2004,R,H,IN,3005.63
2004,R,H,KY,1716.0800000000002
2004,REP,H,CT,2015968.0099999958
2004,REP,H,DC,27623098.939999968
2004,REP,H,DE,1437379.2999999984
2004,REP,H,FL,10104280.710000062
2004,REP,H,FR,214.4
2004,REP,H,GA,12127198.739999967
2004,REP,H,GB,2037.8200000000002
2004,REP,H,GU,2720.43
2004,REP,H,HI,539675.64
2004,REP,H,IA,3116449.2299999995
2004,REP,H,ID,676017.2300000004
2004,REP,H,IL,10193641.890000027
2004,REP,H,IN,2906551.109999996
2004,REP,H,IT,272.67
2004,REP,H,KS,2043657.290000001
2004,REP,H,KY,3004649.5499999938
2004,REP,H,LA,6399456.740000011
2004,REP,H,CO,5295816.9700000025
2004,REP,P,PR,19455.63
2004,REP,H,CA,18500460.249999966
2004,REP,H,AS,29203.23
2004,R,H,MD,9184.250000000002
2004,R,H,NJ,553.9499999999999
2004,R,H,NY,299851.78999999986
2004,R,H,OH,35.0
2004,R,H,PA,3030.0
2004,R,H,SC,5675.0
2004,R,H,TN,761.63
2004,R,H,TX,2529.38
2004,R,H,UT,72.79
2004,R,H,VA,26530.820000000003
2004,R,H,VT,25.99
2004,REP,H,??,2273.52
2004,REP,H,A,3045.8999999999996
2004,REP,H,AK,856126.2099999998
2004,REP,H,AL,1878281.6900000004
2004,REP,H,AP,300.0
2004,REP,H,AR,678202.21
2004,REP,H,AZ,4707878.800000006
2004,REP,P,RI,13667.810000000001
2004,REP,P,SC,968910.84
2004,REP,P,SD,905.79
2004,UNK,P,AR,366.48
2004,UNK,P,AZ,2000.0
2004,UNK,P,CA,8599.51
2004,UNK,P,CO,5950.0
2004,UNK,P,CT,10026.5
2004,UNK,P,DC,7201.29
2004,UNK,P,DE,5620.889999999999
2004,UNK,P,AL,3861.7
2004,UNK,P,FL,28551.61
2004,UNK,P,HI,11805.14
2004,UNK,P,IA,3740.0
2004,UNK,P,IL,39571.399999999994
