,Charter/Cert,Report Date,Inst Type Code,Inst Name,Cash & Deposits,Investments,Net Interest Income,Loans & Leases,Assets,Non-Interest Expense,Liabilities,Liabilities & Equity,Interest Income,Non-Interest Income,Net Income,Deposit Accounts,Employees,Inst Type,Revenue,Cash to Assets,Inv to Assets,Loans to Assets,Interest to Revenue,Non-Interest to Revenue,Net Income to Revenue,Return on Assets,Other Assets,Interest Expense,Other Expense
1,Credit Union_6,6/30/2024 0:00:00,1,THE NEW ORLEANS FIREMEN'S,32.0,33.0,6.0,194.0,274.0,7.0,253.0,274.0,8.0,2.0,-0.0,82811,92.0,Credit Union,10.0,0.11678832116788321,0.12043795620437957,0.708029197080292,0.8,0.2,-0.0,-0.0,15.0,2.0,1.0
2,Credit Union_12,6/30/2024 0:00:00,1,FRANKLIN TRUST,17.0,6.0,1.0,28.0,60.0,2.0,55.0,60.0,2.0,1.0,0.0,22045,25.0,Credit Union,3.0,0.2833333333333333,0.1,0.4666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0,9.0,1.0,0.0
3,Credit Union_13,6/30/2024 0:00:00,1,EFCU FINANCIAL,60.0,0.0,12.0,978.0,1075.0,12.0,987.0,1075.0,27.0,6.0,5.0,117641,126.0,Credit Union,33.0,0.05581395348837209,0.0,0.9097674418604651,0.8181818181818182,0.18181818181818182,0.15151515151515152,0.004651162790697674,37.0,15.0,1.0
6,Credit Union_22,6/30/2024 0:00:00,1,WATERBURY CONNECTICUT TEACHERS,54.0,15.0,6.0,245.0,337.0,4.0,288.0,337.0,8.0,1.0,2.0,41668,34.0,Credit Union,9.0,0.16023738872403562,0.04451038575667656,0.7270029673590505,0.8888888888888888,0.1111111111111111,0.2222222222222222,0.005934718100890208,23.0,2.0,1.0
8,Credit Union_28,6/30/2024 0:00:00,1,CENTRIS,15.0,59.0,27.0,1150.0,1346.0,25.0,1244.0,1346.0,49.0,10.0,3.0,247668,302.0,Credit Union,59.0,0.011144130757800892,0.043833580980683504,0.8543833580980683,0.8305084745762712,0.1694915254237288,0.05084745762711865,0.002228826151560178,122.0,22.0,9.0
9,Credit Union_42,6/30/2024 0:00:00,1,FD COMMUNITY,52.0,9.0,3.0,82.0,146.0,2.0,131.0,146.0,3.0,1.0,1.0,26685,25.0,Credit Union,4.0,0.3561643835616438,0.06164383561643835,0.5616438356164384,0.75,0.25,0.25,0.00684931506849315,3.0,0.0,1.0
10,Credit Union_47,6/30/2024 0:00:00,1,FARGO PUBLIC SCHOOLS,31.0,0.0,1.0,24.0,58.0,1.0,51.0,58.0,1.0,0.0,0.0,5039,8.0,Credit Union,1.0,0.5344827586206896,0.0,0.41379310344827586,1.0,0.0,0.0,0.0,3.0,0.0,0.0
11,Credit Union_48,6/30/2024 0:00:00,1,EAGLE EXPRESS,22.0,11.0,1.0,22.0,64.0,1.0,52.0,64.0,1.0,0.0,0.0,7516,9.0,Credit Union,1.0,0.34375,0.171875,0.34375,1.0,0.0,0.0,0.0,9.0,0.0,0.0
12,Credit Union_51,6/30/2024 0:00:00,1,BROADVIEW,839.0,1218.0,114.0,6673.0,9192.0,156.0,8593.0,9192.0,199.0,55.0,7.0,1225051,1513.0,Credit Union,254.0,0.09127502175805048,0.1325065274151436,0.7259573542210618,0.7834645669291339,0.21653543307086615,0.027559055118110236,0.0007615317667536989,462.0,85.0,6.0
13,Credit Union_53,6/30/2024 0:00:00,1,MOTION,12.0,4.0,1.0,40.0,64.0,1.0,59.0,64.0,1.0,0.0,0.0,10134,12.0,Credit Union,1.0,0.1875,0.0625,0.625,1.0,0.0,0.0,0.0,8.0,0.0,0.0
